Cruise	Station	Type	mon/day/yr	Lon (°E)	Lat (°N)	Bot. Depth [m]	Depth [m]	QF	Echo Amplitude [counts]	QF	East Component [mm/s]	QF	North Component [mm/s]	QF	Magnitude [mm/s]	QF	Direction [deg]	QF	Ensemble	QF	hh:mm
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		18.73	1	162	1	615	1	-486	1	784	1	128.3	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		28.73	1	148	1	608	1	-484	1	777	1	128.5	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		38.73	1	140	1	654	1	-458	1	798	1	125	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		48.73	1	134	1	687	1	-448	1	820	1	123.1	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		58.73	1	128	1	651	1	-457	1	795	1	125.1	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		68.73	1	124	1	641	1	-454	1	785	1	125.3	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		78.73	1	117	1	613	1	-471	1	773	1	127.5	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		88.73	1	112	1	609	1	-442	1	752	1	126	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		98.73	1	109	1	578	1	-374	1	688	1	122.9	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		108.73	1	110	1	646	1	-341	1	730	1	117.8	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		118.73	1	110	1	684	1	-326	1	758	1	115.5	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		128.73	1	107	1	699	1	-229	1	736	1	108.1	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		138.73	1	102	1	703	1	-317	1	771	1	114.3	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		148.73	1	101	1	671	1	-465	1	816	1	124.7	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		158.73	1	100	1	630	1	-404	1	748	1	122.7	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		168.73	1	100	1	600	1	-419	1	732	1	124.9	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		178.73	1	93	1	591	1	-458	1	748	1	127.8	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		188.73	1	82	1	568	1	-421	1	707	1	126.5	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		198.73	1	68	1	532	1	-370	1	648	1	124.8	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		208.73	1	61	1	489	1	-420	1	645	1	130.7	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		218.73	1	58	1	489	1	-395	1	629	1	128.9	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		228.73	1	56	1	484	1	-355	1	600	1	126.3	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		238.73	1	51	1	514	1	-334	1	613	1	123	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		248.73	1	46	1	539	1	-307	1	620	1	119.7	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		258.73	1	44	1	579	1	-320	1	662	1	118.9	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		268.73	1	43	1	634	1	-326	1	713	1	117.2	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		278.73	1	42	1	654	1	-337	1	736	1	117.3	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		288.73	1	41	1	650	1	-356	1	741	1	118.7	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		298.73	1	39	1	627	1	-317	1	703	1	116.8	1	1	1	6:53
S254	019-1	C	8/5/2014	-174.541138	-4.7040855		308.73	1	37	1	618	1	-315	1	694	1	117	1	1	1	6:53
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		18.73	1	160	1	623	1	-398	1	739	1	122.6	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		28.73	1	148	1	647	1	-401	1	761	1	121.8	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		38.73	1	140	1	669	1	-396	1	777	1	120.6	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		48.73	1	134	1	688	1	-398	1	795	1	120	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		58.73	1	128	1	693	1	-403	1	802	1	120.2	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		68.73	1	125	1	684	1	-400	1	792	1	120.3	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		78.73	1	120	1	678	1	-403	1	789	1	120.7	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		88.73	1	113	1	654	1	-397	1	765	1	121.3	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		98.73	1	107	1	653	1	-371	1	751	1	119.6	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		108.73	1	105	1	627	1	-281	1	687	1	114.1	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		118.73	1	106	1	708	1	-368	1	798	1	117.5	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		128.73	1	106	1	745	1	-328	1	814	1	113.8	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		138.73	1	103	1	792	1	-306	1	849	1	111.1	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		148.73	1	100	1	821	1	-501	1	962	1	121.4	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		158.73	1	100	1	797	1	-546	1	966	1	124.4	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		168.73	1	100	1	755	1	-466	1	887	1	121.7	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		178.73	1	95	1	745	1	-497	1	896	1	123.7	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		188.73	1	84	1	705	1	-445	1	834	1	122.3	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		198.73	1	72	1	659	1	-398	1	770	1	121.1	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		208.73	1	63	1	603	1	-430	1	741	1	125.5	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		218.73	1	61	1	568	1	-402	1	696	1	125.3	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		228.73	1	59	1	566	1	-371	1	677	1	123.2	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		238.73	1	53	1	585	1	-329	1	671	1	119.4	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		248.73	1	47	1	608	1	-302	1	679	1	116.4	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		258.73	1	43	1	664	1	-296	1	727	1	114	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		268.73	1	42	1	707	1	-320	1	776	1	114.4	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		278.73	1	40	1	733	1	-327	1	803	1	114	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		288.73	1	39	1	733	1	-324	1	801	1	113.8	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		298.73	1	40	1	742	1	-297	1	799	1	111.8	1	2	1	7:13
S254	019-2	C	8/5/2014	-174.5389794	-4.70690299		308.73	1	40	1	749	1	-278	1	799	1	110.4	1	2	1	7:13
S254	019-3	C	8/5/2014	-174.5360513	-4.71108036		18.73	1	160	1	754	1	-597	1	962	1	128.4	1	3	1	7:33
S254	019-3	C	8/5/2014	-174.5360513	-4.71108036		28.73	1	148	1	764	1	-622	1	985	1	129.2	1	3	1	7:33
S254	019-3	C	8/5/2014	-174.5360513	-4.71108036		38.73	1	141	1	805	1	-608	1	1009	1	127.1	1	3	1	7:33
S254	019-3	C	8/5/2014	-174.5360513	-4.71108036		48.73	1	132	1	835	1	-622	1	1041	1	126.7	1	3	1	7:33
S254	019-3	C	8/5/2014	-174.5360513	-4.71108036		58.73	1	126	1	828	1	-649	1	1052	1	128.1	1	3	1	7:33
S254	019-3	C	8/5/2014	-174.5360513	-4.71108036		68.73	1	122	1	810	1	-648	1	1037	1	128.7	1	3	1	7:33
S254	019-3	C	8/5/2014	-174.5360513	-4.71108036		78.73	1	118	1	813	1	-639	1	1034	1	128.2	1	3	1	7:33
S254	019-3	C	8/5/2014	-174.5360513	-4.71108036		88.73	1	111	1	815	1	-624	1	1026	1	127.4	1	3	1	7:33
S254	019-3	C	8/5/2014	-174.5360513	-4.71108036		98.73	1	105	1	769	1	-581	1	964	1	127.1	1	3	1	7:33
S254	019-3	C	8/5/2014	-174.5360513	-4.71108036		108.73	1	105	1	768	1	-566	1	954	1	126.4	1	3	1	7:33
S254	019-3	C	8/5/2014	-174.5360513	-4.71108036		118.73	1	107	1	847	1	-606	1	1041	1	125.6	1	3	1	7:33
S254	019-3	C	8/5/2014	-174.5360513	-4.71108036		128.73	1	106	1	872	1	-556	1	1034	1	122.5	1	3	1	7:33
S254	019-3	C	8/5/2014	-174.5360513	-4.71108036		138.73	1	102	1	956	1	-631	1	1145	1	123.4	1	3	1	7:33
S254	019-3	C	8/5/2014	-174.5360513	-4.71108036		148.73	1	100	1	965	1	-740	1	1216	1	127.5	1	3	1	7:33
